CASEID,adp_010,cip_10,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65,eduf10,eduf5,edum10,edum5,edupr10,edupr5,eor_01a,eor_01b,eor_01c,eor_02,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25,totvic
    1,2,2,994,994,994,2,1,"59",5,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1, 8,4, 8,4, 2,1,6,6,6,6,3,2,1,2,2,3,1,2,5,5, 5,4,0
    2,6,1,994,994,994,2,3,"11",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 5,3, 5,3, 7,3,6,6,6,6,2,1,1,1,1,1,1,1,5,4, 5,4,0
    3,1,2,994,994,994,2,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 6,3, 6,3,96,6,6,6,6,6,2,1,2,7,1,3,2,2,5,3, 4,2,0
    4,6,2,994,994,994,5,2,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5, 9,5,97,7,6,6,6,6,2,2,1,2,1,1,1,1,5,5, 6,2,0
    5,2,2,994,994,994,5,2,"48",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,96,6,6,6,6,6,3,2,2,2,7,2,2,2,5,5, 5,1,0
    6,6,2,405,994,405,6,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 9,5,6,6,6,6,3,2,1,1,1,1,1,7,5,4, 6,3,1
    7,2,1,994,994,994,2,1,"47",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 3,2, 2,1,6,6,6,6,1,2,1,1,1,1,1,1,5,3, 3,2,0
    8,6,1,994,994,994,5,2,"10",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 8,4,6,6,6,6,2,2,1,1,1,2,1,1,5,4, 6,1,0
    9,6,2,994,994,994,5,2,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5, 9,5,6,6,6,6,4,1,2,2,2,2,2,2,5,5, 5,4,0
   10,2,1,994,994,994,2,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 6,3,6,6,6,6,1,2,1,1,2,2,1,2,5,3, 3,1,0
   11,6,1,994,994,994,5,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1,97,7, 8,4,6,6,6,6,2,2,2,1,1,2,2,2,5,3, 4,1,0
   12,6,2,994,994,994,5,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 3,2,6,6,6,6,2,1,2,2,2,2,2,2,5,4, 6,2,0
   13,6,1,994,994,994,3,1,"47",4,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2, 9,5, 8,4, 5,3,6,6,6,6,1,2,1,1,1,1,1,1,5,5, 5,3,0
   14,2,4,994,994,994,4,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 3,2,96,6,6,6,6,6,3,2,3,2,1,1,1,3,5,2, 4,1,0
   15,2,1,994,304,304,3,1,"35",3,1,1,1,2,2,2,2,2,2,2,2,2,1,7,2,2,2,2,2,7, 2,1,97,7,96,6,6,6,6,6,1,1,1,1,1,1,1,1,4,4, 4,3,1
   16,2,2,994,994,994,2,1,"12",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,6,6,6,6,2,2,2,2,1,2,1,2,5,4, 5,2,0
   17,2,3,994,994,994,1,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,2,2,1,2,2,2,2,2,3,2,2,3,5,4, 4,3,0
   18,6,2,994,994,994,3,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 2,1, 1,1,6,6,6,6,1,2,1,1,2,1,1,2,5,4, 5,4,0
   19,6,1,994,994,994,3,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1,97,7, 2,1,6,6,6,6,2,1,1,1,1,1,1,1,5,4, 4,3,0
   20,6,2,994,994,994,6,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7,10,5,6,6,6,6,2,2,2,2,2,2,2,2,5,5, 6,2,0
   21,3,1,994,994,994,6,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 9,5,96,6,6,6,6,6,2,1,1,1,1,1,1,1,5,4, 6,4,0
   22,6,1,994,994,994,7,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 2,1,6,6,6,6,3,2,1,1,1,1,1,1,5,5, 6,4,0
   23,2,2,994,994,994,6,2,"10",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5,96,6,6,6,6,6,2,2,2,2,2,2,2,2,5,5, 6,2,0
   24,2,2,994,994,994,2,1,"59",5,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2, 5,3, 2,1,96,6,6,6,6,6,2,2,2,1,1,2,2,2,5,4, 5,3,0
   25,3,2,994,994,994,6,2,"24",2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,97,7, 8,4,96,6,6,6,6,6,3,2,1,1,1,2,2,1,5,5, 6,2,0
   26,6,1,994,994,994,7,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 9,5,6,6,6,6,2,2,1,1,1,1,1,1,5,5, 6,1,0
   27,6,2,994,994,994,3,2,"47",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 8,4,6,6,6,6,2,2,1,2,1,3,2,2,5,5, 5,7,0
   28,2,1,994,994,994,2,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,98,8, 3,2,96,6,6,6,6,6,1,2,1,1,1,1,1,1,5,3, 4,2,0
   29,2,1,994,994,994,4,3,"11",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 3,2,96,6,6,6,6,6,2,2,1,1,1,1,1,1,5,5, 4,3,0
   30,2,1,994,994,994,1,1,"48",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 1,1, 1,1,96,6,1,2,2,1,1,2,1,2,2,1,1,1,5,4, 4,2,0
   31,6,2,994,994,994,4,2,"12",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 3,2,6,6,6,6,3,2,2,2,2,2,2,2,5,4, 4,2,0
   32,6,2,994,994,994,4,2,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 9,5,6,6,6,6,3,2,2,2,2,2,2,2,5,3, 6,1,0
   33,2,1,994,994,994,6,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 4,2,10,5,96,6,6,6,6,6,2,2,1,7,1,1,1,1,7,7, 5,5,0
   34,1,2,994,994,994,3,3,"11",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5,96,6,6,6,6,6,2,2,1,1,1,1,1,1,5,3, 5,3,0
   35,2,1,994,994,994,1,2,"48",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,2,1,2,1,3,2,1,1,1,1,1,1,5,5, 4,2,0
   36,6,1,994,994,994,5,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 1,1,6,6,6,6,2,2,1,1,1,2,1,1,5,5, 5,3,0
   37,2,2,994,994,994,5,2,"59",5,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,96,6,6,6,6,6,2,1,2,2,1,2,2,2,5,3, 3,2,0
   38,3,3,994,994,994,6,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 7,3, 8,4,96,6,6,6,6,6,3,1,3,7,7,7,7,1,1,1, 6,7,0
   39,2,1,994,994,994,4,1,"59",5,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 3,2,97,7,96,6,6,6,6,6,1,2,1,1,1,1,1,1,4,3, 3,1,0
   40,3,2,994,304,304,7,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5, 9,5,96,6,6,6,6,6,2,2,2,3,2,2,2,2,5,3, 6,3,1
   41,2,1,994,994,994,5,1,"24",2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2, 8,4, 8,4,96,6,6,6,6,6,2,2,1,1,1,1,1,1,5,3, 4,2,0
   42,2,2,994,994,994,1,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 6,3, 8,4,96,6,2,2,1,1,2,2,1,1,2,1,1,1,5,3, 3,1,0
   43,2,1,994,994,994,1,3,"11",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,1,2,2,1,1,2,1,1,1,1,1,1,5,4, 3,1,0
   44,6,7,994,994,994,6,1,"46",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 9,5,6,6,6,6,2,2,7,7,7,2,7,7,5,4, 6,7,0
   45,2,2,994,994,994,4,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,6,6,6,6,2,2,1,1,2,2,1,1,5,4, 4,2,0
   46,2,1,994,994,994,1,1,"13",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 4,2,96,6,6,6,6,6,1,2,1,1,1,1,1,1,5,4, 4,3,0
   47,2,1,994,994,994,1,1,"46",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 2,1,96,6,2,2,1,1,2,2,1,7,1,1,1,1,5,4, 3,3,0
   48,6,1,994,994,994,7,2,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 2,1,6,6,6,6,2,2,1,1,1,7,1,1,5,5, 6,5,0
   49,6,1,995,995,995,3,1,"48",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 2,1,6,6,6,6,2,2,1,1,1,1,1,1,5,4, 4,3,1
   50,2,2,994,994,994,5,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 1,1, 1,1,96,6,6,6,6,6,3,2,2,2,1,1,1,1,5,3, 3,2,0
   51,3,1,994,994,994,6,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,96,6,6,6,6,6,2,2,1,1,1,7,1,2,5,5, 6,3,0
   52,6,1,994,994,994,6,2,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 9,5,6,6,6,6,2,2,1,1,1,1,1,1,5,5, 6,3,0
   53,2,3,994,994,994,6,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 3,2, 9,5,96,6,6,6,6,6,2,1,2,7,2,1,1,2,4,3, 2,3,0
   54,6,1,994,994,994,4,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 1,1,10,5, 8,4,6,6,6,6,1,2,1,1,1,2,1,1,5,3, 5,1,0
   55,2,2,994,994,994,2,1,"12",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 6,3,96,6,6,6,6,6,3,2,2,2,2,2,2,2,5,3, 4,3,0
   56,6,2,994,994,994,6,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 3,2,6,6,6,6,2,2,1,1,1,1,1,1,5,4, 6,2,0
   57,6,1,994,994,994,4,1,"10",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 3,2,6,6,6,6,2,1,1,1,1,1,1,1,5,5, 4,3,0
   58,6,2,994,994,994,7,1,"46",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5, 6,3, 8,4,6,6,6,6,3,2,2,7,1,2,1,1,5,5, 6,4,0
   59,6,2,994,994,994,3,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 1,1,10,5, 6,3,6,6,6,6,2,2,3,1,1,1,1,1,5,4, 5,2,0
   60,6,1,994,994,994,7,1,"48",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 5,3,6,6,6,6,3,2,1,1,1,1,1,1,5,4, 6,2,0
   61,6,1,994,994,994,5,2,"13",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 8,4,6,6,6,6,1,2,1,1,1,1,1,1,5,5, 5,1,0
   62,2,2,994,994,994,2,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 6,3, 2,1,6,6,6,6,2,2,2,2,2,1,1,1,5,1, 3,1,0
   63,2,2,994,994,994,1,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 2,1,96,6,2,2,1,1,2,2,1,1,1,1,1,1,5,3, 4,2,0
   64,6,1,994,609,609,4,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7, 8,4, 1,1,6,6,6,6,7,2,1,7,7,7,1,1,5,5, 2,1,1
   65,2,2,994,994,994,2,1,"35",3,2,2,7,2,2,2,2,2,7,2,2,2,7,6,6,6,6,6,6,6, 2,1, 3,2, 3,2,6,6,6,6,2,2,2,7,7,2,2,2,5,7, 4,3,0
   66,2,1,994,994,994,6,1,"12",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5, 9,5,96,6,6,6,6,6,2,2,1,1,1,1,1,1,5,2, 5,1,0
   67,2,2,994,994,994,3,1,"35",3,1,1,2,1,2,2,2,2,2,2,7,2,1,2,1,1,2,2,2,1, 9,5, 2,1,96,6,6,6,6,6,2,2,2,1,2,3,2,2,5,4, 4,3,0
   68,2,2,994,994,994,1,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 1,1, 2,1,96,6,2,2,1,1,2,2,1,1,2,1,1,2,5,4, 4,4,0
   69,2,2,994,994,994,3,1,"46",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 1,1, 1,1,96,6,6,6,6,6,2,2,1,1,1,1,2,2,5,3, 4,2,0
   70,6,1,994,994,994,2,2,"48",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 8,4, 8,4,6,6,6,6,2,2,1,1,1,1,1,1,5,5, 5,1,0
   71,6,3,406,994,406,5,1,"35",3,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1, 3,2, 9,5, 5,3,6,6,6,6,2,2,3,2,7,3,3,3,5,3, 3,1,2
   72,3,1,994,994,994,5,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7,96,6,6,6,6,6,7,2,3,7,1,1,1,1,5,1, 1,1,0
   73,2,2,994,994,994,6,2,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,96,6,6,6,6,6,2,2,2,2,1,2,2,1,5,4, 5,3,0
   74,3,2,994,609,609,6,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,96,6,6,6,6,6,2,2,1,1,1,2,1,1,5,5, 6,3,1
   75,6,2,994,994,994,3,2,"46",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 3,2, 4,2,6,6,6,6,2,2,1,1,1,2,1,1,5,4, 5,3,0
   76,3,2,994,994,994,2,1,"47",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5, 4,2,6,6,6,6,2,2,2,7,7,7,7,7,5,5, 5,1,0
   77,6,2,994,994,994,5,1,"59",5,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 8,4, 2,1,6,6,6,6,2,1,2,1,1,1,1,2,5,4, 6,3,0
   78,3,1,994,994,994,6,1,"24",2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1, 8,4,10,5,96,6,6,6,6,6,2,2,1,2,1,1,1,1,2,1, 6,1,0
   79,6,1,994,994,994,5,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,97,7, 8,4,6,6,6,6,2,2,1,1,1,7,1,1,5,5, 6,3,0
   80,6,2,994,994,994,3,1,"47",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 4,2, 2,1, 8,4,6,6,6,6,2,1,2,2,1,1,1,2,5,4, 4,3,0
   81,2,2,994,994,994,1,1,"59",5,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,1,2,2,1,2,2,1,1,1,1,1,1,5,4, 4,3,0
   82,2,1,994,994,994,1,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 3,2, 3,2,96,6,2,1,2,1,1,1,1,1,1,1,1,1,5,5, 5,3,0
   83,2,1,994,994,994,6,2,"12",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 5,3, 9,5,96,6,6,6,6,6,3,2,1,2,1,1,1,1,4,2, 2,1,0
   84,2,1,994,994,994,6,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 8,4,96,6,6,6,6,6,1,1,1,7,1,1,1,1,5,5, 6,3,0
   85,6,1,994,994,994,7,2,"47",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,10,5,6,6,6,6,2,2,2,1,1,1,1,1,5,5, 6,1,0
   86,1,2,994,994,994,4,1,"46",4,1,1,2,1,1,2,2,2,2,2,2,2,2,7,2,2,2,2,2,7, 8,4, 2,1,96,6,6,6,6,6,7,2,3,2,3,2,2,2,5,3, 4,2,0
   87,2,2,994,994,994,5,3,"11",1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,97,7,97,7,96,6,6,6,6,6,3,2,2,2,7,1,2,2,5,5, 6,1,0
   88,3,1,994,994,994,5,1,"35",3,2,2,2,2,2,2,2,2,2,7,2,2,7,6,6,6,6,6,6,6, 9,5, 8,4,96,6,6,6,6,6,1,1,1,1,1,1,1,1,3,4, 6,2,0
   89,6,2,994,994,994,3,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 2,1, 2,1,6,6,6,6,2,1,1,1,1,1,1,2,5,3, 3,3,0
   90,3,2,994,994,994,1,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7,96,6,6,6,6,6,2,2,1,1,1,1,1,1,5,1, 2,1,0
   91,2,3,711,994,711,3,1,"12",1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,97,7,97,7, 9,5,6,6,6,6,4,1,3,2,1,1,2,2,5,4, 5,3,2
   92,6,1,994,994,994,2,1,"59",5,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 3,2, 2,1,6,6,6,6,2,2,1,7,1,3,1,1,5,3, 4,2,0
   93,2,1,994,994,994,6,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,96,6,6,6,6,6,2,2,1,1,1,1,1,1,5,5, 6,3,0
   94,2,2,994,994,994,3,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 7,3,2,1,2,1,2,2,7,7,7,7,1,1,5,5, 6,4,0
   95,2,2,711,994,711,5,1,"35",3,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,3,2, 7,3, 9,5,96,6,6,6,6,6,2,1,2,1,1,2,2,1,5,3, 4,2,1
   96,2,2,994,994,994,1,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 3,2,96,6,2,1,2,1,2,2,2,2,1,2,1,1,5,4, 4,3,0
   97,6,2,994,994,994,3,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5, 7,3,6,6,6,6,3,2,1,1,1,1,1,1,5,7, 3,1,0
   98,6,1,994,994,994,5,1,"12",1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,10,5, 9,5,10,5,6,6,6,6,1,2,1,1,1,1,1,1,5,1, 6,1,0
   99,6,1,994,994,994,4,2,"13",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,10,5,6,6,6,6,1,2,2,2,1,1,1,1,5,3, 3,1,0
  100,6,2,994,994,994,4,1,"48",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 1,1,6,6,6,6,2,2,2,7,2,2,2,2,5,4, 6,1,0
  101,6,1,994,994,994,3,2,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5, 5,3, 4,2,6,6,6,6,1,1,1,1,1,1,1,1,5,5, 5,3,0
  102,6,1,994,994,994,5,1,"48",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 8,4, 8,4,6,6,6,6,2,1,1,1,1,1,1,1,5,4, 3,1,0
  103,6,3,994,994,994,4,2,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 9,5,6,6,6,6,2,1,1,2,1,1,1,2,3,3, 3,3,0
  104,2,3,994,994,994,2,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 1,1,96,6,6,6,6,6,2,2,1,7,1,1,1,2,5,4, 4,4,0
  105,2,1,994,994,994,2,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 1,1, 1,1,96,6,2,2,1,1,1,2,1,1,1,1,1,1,5,3, 3,2,0
  106,6,2,994,994,994,6,1,"13",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5, 9,5,6,6,6,6,2,2,1,1,1,1,1,1,5,5, 6,4,0
  107,2,1,994,994,994,7,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,97,7,96,6,6,6,6,6,2,2,1,1,1,7,7,1,5,2, 6,1,0
  108,6,2,994,994,994,6,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 7,3, 8,4,6,6,6,6,1,1,1,7,1,1,1,1,5,5, 6,4,0
  109,6,2,994,994,994,3,2,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5, 8,4,6,6,6,6,2,2,1,1,1,1,1,1,5,5, 4,2,0
  110,6,1,994,609,609,3,2,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 3,2, 3,2, 8,4,6,6,6,6,2,1,1,2,1,1,1,1,5,4, 3,2,1
  111,6,1,994,994,994,6,1,"48",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 8,4, 3,2,6,6,6,6,2,1,1,1,1,1,1,1,4,4, 4,3,0
  112,6,2,994,994,994,5,2,"46",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4,10,5, 2,1,6,6,6,6,3,1,1,1,1,2,1,2,5,5, 6,2,0
  113,2,2,994,994,994,1,2,"46",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,6,6,6,6,7,2,2,1,1,7,1,7,5,2, 5,1,0
  114,6,2,994,994,994,4,1,"13",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 8,4, 3,2,6,6,6,6,2,1,2,1,1,1,1,1,5,4, 4,1,0
  115,2,1,994,994,994,1,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7,96,6,1,2,2,1,2,2,1,7,1,1,1,1,5,4, 5,2,0
  116,2,2,994,994,994,5,1,"59",5,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2, 8,4, 5,3,96,6,6,6,6,6,3,2,3,3,7,2,2,7,7,3, 4,2,0
  117,6,2,711,994,711,2,2,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4,97,7, 8,4,6,6,6,6,2,2,3,2,2,2,2,1,5,3, 5,1,1
  118,3,2,994,994,994,1,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5,96,6,2,1,2,2,2,2,2,2,2,2,2,2,5,3, 4,2,0
  119,1,1,405,994,405,3,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 7,3, 8,4,6,6,6,6,2,2,2,1,1,1,2,1,5,1, 5,3,1
  120,2,2,994,994,994,2,2,"12",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 2,1,96,6,6,6,6,6,2,2,2,1,1,3,2,1,5,3, 3,1,0
  121,2,2,994,994,994,1,1,"46",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,6,6,6,6,2,2,1,1,1,1,1,1,5,3, 4,2,0
  122,6,1,994,609,609,3,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7, 8,4, 9,5,6,6,6,6,2,1,1,1,1,1,1,2,5,3, 3,1,1
  123,3,1,994,994,994,7,1,"46",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5,96,6,6,6,6,6,2,2,1,1,7,1,1,1,5,7, 6,3,0
