CASEID,adp_010,cip_10,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65,eduf10,eduf5,edum10,edum5,edupr10,edupr5,eor_01a,eor_01b,eor_01c,eor_02,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25,totvic
31207,1,2,994,994,994,3,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,6,6,6,6,2,2,7,7,1,1,1,7,5,4, 4,4,0
31208,3,2,994,994,994,4,2,"10",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 4,2,6,6,6,6,2,2,2,7,1,1,1,1,5,5, 4,1,0
31209,6,1,994,994,994,5,1,"59",5,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 8,4,6,6,6,6,3,2,1,1,2,2,1,2,5,4, 6,2,0
31210,6,2,994,994,994,5,1,"46",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 7,3,6,6,6,6,3,2,2,2,1,1,2,2,5,5, 6,2,0
31211,2,2,711,101,101,2,1,"59",5,2,1,1,2,2,7,2,1,2,1,2,2,2,2,2,1,2,2,2,1, 2,1, 2,1, 1,1,6,6,6,6,7,2,2,2,2,2,2,3,5,4, 4,3,3
31212,2,2,994,994,994,7,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7,96,6,2,2,1,2,2,2,1,1,1,1,1,1,5,4, 6,2,0
31213,6,2,994,994,994,6,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 8,4,6,6,6,6,3,1,3,3,3,2,2,3,5,4, 6,1,0
31214,2,1,711,609,609,1,1,"59",5,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 2,1,96,6,2,2,1,1,2,2,1,2,1,1,1,2,5,3, 4,3,3
31215,6,2,994,994,994,4,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 5,3,6,6,6,6,2,2,2,2,2,2,2,2,5,5, 3,1,0
31216,2,1,994,994,994,4,1,"48",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5, 2,1,6,6,6,6,2,2,1,7,1,1,1,1,5,5, 4,2,0
31217,2,1,994,994,994,5,2,"12",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5,96,6,6,6,6,6,2,2,1,1,1,1,1,1,5,5, 5,3,0
31218,6,1,712,994,712,3,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 8,4,6,6,6,6,3,1,1,7,1,1,1,1,5,3, 4,1,1
31219,2,3,813,994,813,5,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 1,1, 3,2,96,6,6,6,6,6,2,2,2,7,3,2,2,3,5,5, 4,4,1
31220,2,2,994,994,994,1,1,"59",5,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,10,5,96,6,6,6,6,6,2,2,1,2,2,2,1,1,5,4, 4,2,0
31221,3,1,994,994,994,7,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,96,6,6,6,6,6,2,2,1,1,1,2,1,1,5,4, 4,3,0
31222,3,1,994,994,994,5,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5,96,6,6,6,6,6,3,2,2,1,1,1,2,1,5,3, 5,3,0
31223,2,1,994,994,994,7,3,"11",1,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2, 1,1, 2,1,96,6,6,6,6,6,1,2,1,1,1,1,1,1,5,4, 6,3,0
31224,1,2,994,994,994,1,1,"35",3,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,97,7, 3,2,96,6,2,1,2,1,2,2,1,2,7,2,2,7,5,2, 4,3,0
31225,6,1,994,304,304,5,1,"48",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 8,4,6,6,6,6,3,2,1,1,1,1,1,1,5,5, 6,3,1
31226,6,1,994,994,994,3,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 7,3, 7,3, 2,1,6,6,6,6,2,1,1,1,1,1,1,1,5,5, 5,2,0
31227,6,3,994,994,994,5,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 8,4,6,6,6,6,3,2,2,2,2,3,2,2,3,4, 3,1,0
31228,2,1,994,994,994,3,2,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,6,6,6,6,2,1,1,1,1,1,1,1,5,5, 6,2,0
31229,2,1,994,994,994,3,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 2,1,96,6,6,6,6,6,1,2,1,1,1,1,1,1,5,4, 4,2,0
31230,2,2,813,304,304,1,2,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 2,1,96,6,2,2,1,1,2,2,2,7,7,1,1,1,5,4, 4,3,2
31231,6,1,994,994,994,6,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 8,4, 9,5,6,6,6,6,3,2,7,7,7,7,7,7,5,4, 6,2,0
31232,6,1,994,994,994,5,2,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 8,4,6,6,6,6,2,2,1,1,1,1,1,1,4,4, 3,3,0
