CASEID,cip_10,agegr10,luc_rst,prv,region,sex,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25
17839,1,4,1,"59",5,1,2,2,1,2,1,1,1,1,5,5, 4,4
17840,2,7,2,"13",1,2,2,2,7,7,2,1,2,1,5,5, 6,2
17841,1,7,1,"47",4,1,7,2,1,1,1,7,7,1,5,2, 6,2
17842,2,2,3,"11",1,2,3,1,2,7,1,1,2,2,5,4, 3,2
17843,2,1,1,"46",4,1,2,2,2,2,1,1,1,2,5,4, 4,3
17844,2,3,1,"48",4,2,2,2,2,7,3,3,2,2,5,3, 4,1
17845,3,2,1,"48",4,2,2,2,1,3,2,2,3,3,5,3, 3,3
17846,3,2,1,"35",3,2,2,1,2,2,3,2,3,3,4,2, 2,2
17847,3,2,1,"47",4,2,4,2,7,2,7,7,3,3,4,2, 3,3
17848,2,1,1,"48",4,1,1,2,1,1,1,1,1,1,5,4, 5,1
17849,1,1,1,"35",3,1,1,2,1,1,1,1,1,1,5,4, 5,1
17850,1,6,1,"46",4,2,2,2,1,7,1,1,1,1,5,5, 6,1
17851,2,7,1,"12",1,2,2,2,1,1,1,1,1,1,5,4, 6,3
17852,2,3,1,"24",2,2,3,2,2,7,2,2,1,2,5,4, 4,1
17853,1,1,1,"13",1,2,2,2,1,2,1,1,1,1,5,1, 3,1
17854,2,6,1,"59",5,1,3,2,2,7,2,1,1,1,5,4, 6,3
17855,1,7,1,"35",3,2,2,2,1,1,7,1,1,1,5,5, 6,4
17856,4,2,1,"46",4,2,4,1,1,1,3,1,1,3,5,4, 5,3
17857,2,4,2,"12",1,2,2,2,2,3,1,1,1,1,5,5, 5,4
17858,1,4,1,"59",5,1,2,1,1,1,1,1,1,1,5,4, 3,2
17859,1,6,1,"46",4,1,7,2,1,1,1,1,1,1,5,5, 6,1
17860,3,4,1,"24",2,1,4,2,2,2,2,2,2,3,4,3, 3,1
17861,2,5,1,"35",3,2,3,2,2,2,1,1,2,2,5,3, 5,1
17862,1,6,1,"46",4,1,1,2,1,1,1,1,1,1,5,5, 6,3
17863,2,6,2,"10",1,1,2,2,2,2,1,2,1,2,5,4, 6,2
17864,2,3,1,"59",5,1,3,2,2,2,1,3,1,1,5,3, 3,1
17865,1,5,1,"35",3,2,2,1,2,7,2,2,2,2,5,4, 6,2
17866,1,2,2,"12",1,1,2,2,2,2,1,1,1,1,5,4, 5,3
17867,1,3,1,"24",2,1,1,2,1,1,1,1,1,1,5,4, 3,1
17868,3,6,2,"12",1,1,3,2,2,7,2,7,2,7,3,3, 6,2
17869,1,5,1,"35",3,2,7,2,1,1,1,1,1,1,5,3,97,1
17870,2,6,1,"24",2,1,1,2,1,1,3,7,1,1,1,3, 6,7
17871,2,1,1,"35",3,2,7,2,2,1,1,7,2,1,5,3, 6,1
17872,2,3,1,"35",3,1,4,2,2,7,1,1,8,8,5,3, 4,1
17873,1,5,1,"12",1,2,2,1,1,1,1,1,1,1,5,4, 6,2
17874,2,4,1,"24",2,1,3,2,1,1,1,1,1,1,5,5, 4,3
17875,1,6,1,"59",5,2,3,2,1,1,1,1,1,1,5,3, 6,3
17876,1,4,1,"35",3,2,1,1,1,1,1,1,1,1,5,5, 5,4
17877,1,4,1,"48",4,1,1,2,1,1,1,1,1,1,5,5, 5,4
17878,1,7,2,"35",3,1,2,1,1,1,1,7,1,1,5,5, 6,1
17879,4,2,2,"12",1,1,4,2,3,2,2,2,2,2,5,5, 5,5
17880,2,4,1,"48",4,1,3,1,1,1,2,3,2,2,5,5, 5,1
17881,2,4,2,"48",4,2,1,2,2,2,1,2,2,1,5,5, 5,3
17882,2,7,1,"59",5,2,4,2,3,2,2,2,2,2,5,5, 6,3
17883,1,7,1,"13",1,2,1,2,1,7,7,7,1,1,5,5, 6,3
17884,2,1,1,"35",3,1,2,2,2,2,2,1,2,1,5,4, 4,2
17885,2,6,2,"12",1,2,4,2,2,7,1,7,1,1,5,5, 6,5
17886,2,6,1,"24",2,2,2,2,1,1,1,1,1,1,5,5, 4,2
17887,1,5,1,"10",1,2,2,2,2,2,1,1,2,2,5,4, 6,2
17888,1,1,1,"35",3,1,1,2,1,7,1,2,1,1,5,4, 5,3
17889,2,5,1,"35",3,1,2,2,3,1,1,2,2,2,5,3, 3,2
17890,7,6,1,"35",3,2,2,2,7,2,1,1,7,1,5,5, 6,3
17891,1,6,1,"59",5,1,4,2,1,7,1,1,1,1,5,5, 6,5
17892,2,6,1,"12",1,1,2,2,1,1,1,7,1,1,5,4, 6,3
17893,1,6,1,"35",3,2,2,2,2,2,1,1,1,1,5,4, 6,3
17894,1,1,1,"48",4,2,2,2,1,1,1,1,1,1,5,3, 5,2
17895,2,1,1,"46",4,2,2,2,2,2,1,3,2,1,5,3, 3,1
17896,1,3,2,"24",2,1,2,2,1,1,1,1,1,1,5,4, 4,1
17897,1,6,1,"24",2,2,2,2,1,1,1,1,1,1,5,5, 6,4
17898,1,6,2,"35",3,1,2,1,1,1,1,1,1,2,5,3, 6,1
17899,1,4,1,"24",2,2,2,2,1,1,1,1,1,1,5,5, 6,1
17900,1,6,2,"13",1,2,2,2,1,1,1,1,1,1,5,5, 6,2
17901,2,3,1,"35",3,2,2,2,2,1,1,1,1,1,5,4, 4,1
17902,1,4,1,"35",3,2,7,2,2,7,1,1,1,1,5,5, 5,7
17903,2,5,2,"47",4,2,2,2,7,3,1,3,3,7,5,4, 4,2
17904,4,2,1,"24",2,1,3,1,3,3,3,3,3,3,5,5, 4,3
17905,2,5,1,"59",5,2,2,2,2,1,7,1,1,1,5,4, 6,3
17906,3,3,1,"47",4,1,3,2,3,2,2,2,2,3,5,3, 2,1
17907,2,4,1,"35",3,1,2,2,2,3,1,2,2,1,3,4, 3,1
17908,1,1,1,"13",1,2,1,2,1,1,1,1,1,1,5,5, 5,4
17909,2,1,1,"46",4,1,3,2,2,1,1,1,7,7,5,2, 5,1
17910,2,7,1,"24",2,2,2,2,7,7,1,7,1,1,5,4, 6,3
17911,1,7,1,"10",1,2,1,2,1,1,1,7,1,1,5,5, 6,3
17912,1,5,2,"10",1,2,2,1,1,1,1,1,1,1,4,2, 6,1
17913,2,4,2,"35",3,2,3,1,2,1,1,1,1,1,5,5, 4,2
17914,1,7,1,"13",1,2,2,2,1,1,1,1,1,1,5,5, 6,1
17915,1,2,1,"35",3,1,2,2,1,7,7,7,1,7,5,3, 3,2
17916,3,5,1,"35",3,2,7,2,7,7,7,7,1,7,5,3, 3,1
17917,2,2,1,"12",1,1,2,2,1,1,1,2,1,1,5,5, 4,4
17918,1,5,1,"24",2,1,1,1,1,1,1,1,1,1,5,5, 4,2
17919,1,4,1,"10",1,2,2,2,2,2,1,1,1,1,5,3, 5,3
17920,3,1,1,"35",3,2,2,2,2,2,3,2,2,3,5,2, 4,1
17921,1,7,1,"48",4,2,2,2,2,7,1,1,1,1,5,4, 6,1
17922,1,5,2,"59",5,1,1,1,1,1,1,1,1,1,5,4, 5,1
17923,3,1,3,"11",1,1,3,2,1,1,1,3,2,2,5,3, 4,2
17924,2,3,1,"13",1,2,2,2,2,2,2,2,2,2,4,3, 3,1
17925,1,3,1,"35",3,2,2,2,1,1,1,1,1,1,5,5, 5,4
17926,2,6,1,"35",3,1,3,1,2,1,7,3,1,2,3,7, 6,2
17927,2,4,2,"13",1,2,2,2,2,1,2,2,2,2,5,3, 4,2
