CASEID,cip_10,agegr10,luc_rst,prv,region,sex,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25
    1,2,2,1,"59",5,1,3,2,1,2,2,3,1,2,5,5, 5,4
    2,1,2,3,"11",1,2,2,1,1,1,1,1,1,1,5,4, 5,4
    3,2,2,1,"35",3,1,2,1,2,7,1,3,2,2,5,3, 4,2
    4,2,5,2,"24",2,2,2,2,1,2,1,1,1,1,5,5, 6,2
    5,2,5,2,"48",4,2,3,2,2,2,7,2,2,2,5,5, 5,1
    6,2,6,1,"12",1,2,3,2,1,1,1,1,1,7,5,4, 6,3
    7,1,2,1,"47",4,1,1,2,1,1,1,1,1,1,5,3, 3,2
    8,1,5,2,"10",1,2,2,2,1,1,1,2,1,1,5,4, 6,1
    9,2,5,2,"12",1,2,4,1,2,2,2,2,2,2,5,5, 5,4
   10,1,2,1,"35",3,1,1,2,1,1,2,2,1,2,5,3, 3,1
   11,1,5,1,"35",3,1,2,2,2,1,1,2,2,2,5,3, 4,1
   12,2,5,1,"35",3,1,2,1,2,2,2,2,2,2,5,4, 6,2
   13,1,3,1,"47",4,1,1,2,1,1,1,1,1,1,5,5, 5,3
   14,4,4,1,"12",1,2,3,2,3,2,1,1,1,3,5,2, 4,1
   15,1,3,1,"35",3,1,1,1,1,1,1,1,1,1,4,4, 4,3
   16,2,2,1,"12",1,1,2,2,2,2,1,2,1,2,5,4, 5,2
   17,3,1,1,"35",3,1,2,2,2,2,3,2,2,3,5,4, 4,3
   18,2,3,1,"12",1,2,1,2,1,1,2,1,1,2,5,4, 5,4
   19,1,3,1,"24",2,1,2,1,1,1,1,1,1,1,5,4, 4,3
   20,2,6,1,"35",3,2,2,2,2,2,2,2,2,2,5,5, 6,2
   21,1,6,1,"59",5,2,2,1,1,1,1,1,1,1,5,4, 6,4
   22,1,7,1,"59",5,2,3,2,1,1,1,1,1,1,5,5, 6,4
   23,2,6,2,"10",1,2,2,2,2,2,2,2,2,2,5,5, 6,2
   24,2,2,1,"59",5,2,2,2,2,1,1,2,2,2,5,4, 5,3
   25,2,6,2,"24",2,2,3,2,1,1,1,2,2,1,5,5, 6,2
   26,1,7,1,"24",2,1,2,2,1,1,1,1,1,1,5,5, 6,1
   27,2,3,2,"47",4,2,2,2,1,2,1,3,2,2,5,5, 5,7
   28,1,2,1,"35",3,1,1,2,1,1,1,1,1,1,5,3, 4,2
   29,1,4,3,"11",1,2,2,2,1,1,1,1,1,1,5,5, 4,3
   30,1,1,1,"48",4,1,1,2,1,2,2,1,1,1,5,4, 4,2
   31,2,4,2,"12",1,1,3,2,2,2,2,2,2,2,5,4, 4,2
   32,2,4,2,"12",1,2,3,2,2,2,2,2,2,2,5,3, 6,1
   33,1,6,1,"35",3,2,2,2,1,7,1,1,1,1,7,7, 5,5
   34,2,3,3,"11",1,2,2,2,1,1,1,1,1,1,5,3, 5,3
   35,1,1,2,"48",4,1,3,2,1,1,1,1,1,1,5,5, 4,2
   36,1,5,1,"24",2,1,2,2,1,1,1,2,1,1,5,5, 5,3
   37,2,5,2,"59",5,1,2,1,2,2,1,2,2,2,5,3, 3,2
   38,3,6,1,"35",3,1,3,1,3,7,7,7,7,1,1,1, 6,7
   39,1,4,1,"59",5,1,1,2,1,1,1,1,1,1,4,3, 3,1
   40,2,7,1,"12",1,2,2,2,2,3,2,2,2,2,5,3, 6,3
   41,1,5,1,"24",2,1,2,2,1,1,1,1,1,1,5,3, 4,2
   42,2,1,1,"24",2,2,2,2,1,1,2,1,1,1,5,3, 3,1
   43,1,1,3,"11",1,1,1,2,1,1,1,1,1,1,5,4, 3,1
   44,7,6,1,"46",4,2,2,2,7,7,7,2,7,7,5,4, 6,7
   45,2,4,1,"35",3,1,2,2,1,1,2,2,1,1,5,4, 4,2
   46,1,1,1,"13",1,2,1,2,1,1,1,1,1,1,5,4, 4,3
   47,1,1,1,"46",4,1,2,2,1,7,1,1,1,1,5,4, 3,3
   48,1,7,2,"24",2,1,2,2,1,1,1,7,1,1,5,5, 6,5
   49,1,3,1,"48",4,2,2,2,1,1,1,1,1,1,5,4, 4,3
   50,2,5,1,"24",2,1,3,2,2,2,1,1,1,1,5,3, 3,2
   51,1,6,1,"35",3,1,2,2,1,1,1,7,1,2,5,5, 6,3
   52,1,6,2,"12",1,2,2,2,1,1,1,1,1,1,5,5, 6,3
   53,3,6,1,"24",2,2,2,1,2,7,2,1,1,2,4,3, 2,3
   54,1,4,1,"35",3,2,1,2,1,1,1,2,1,1,5,3, 5,1
   55,2,2,1,"12",1,1,3,2,2,2,2,2,2,2,5,3, 4,3
   56,2,6,1,"35",3,2,2,2,1,1,1,1,1,1,5,4, 6,2
   57,1,4,1,"10",1,1,2,1,1,1,1,1,1,1,5,5, 4,3
   58,2,7,1,"46",4,2,3,2,2,7,1,2,1,1,5,5, 6,4
   59,2,3,1,"35",3,1,2,2,3,1,1,1,1,1,5,4, 5,2
   60,1,7,1,"48",4,2,3,2,1,1,1,1,1,1,5,4, 6,2
   61,1,5,2,"13",1,2,1,2,1,1,1,1,1,1,5,5, 5,1
   62,2,2,1,"59",5,2,2,2,2,2,2,1,1,1,5,1, 3,1
   63,2,1,1,"24",2,2,2,2,1,1,1,1,1,1,5,3, 4,2
   64,1,4,1,"35",3,1,7,2,1,7,7,7,1,1,5,5, 2,1
   65,2,2,1,"35",3,2,2,2,2,7,7,2,2,2,5,7, 4,3
   66,1,6,1,"12",1,1,2,2,1,1,1,1,1,1,5,2, 5,1
   67,2,3,1,"35",3,1,2,2,2,1,2,3,2,2,5,4, 4,3
   68,2,1,1,"24",2,1,2,2,1,1,2,1,1,2,5,4, 4,4
   69,2,3,1,"46",4,2,2,2,1,1,1,1,2,2,5,3, 4,2
   70,1,2,2,"48",4,1,2,2,1,1,1,1,1,1,5,5, 5,1
   71,3,5,1,"35",3,2,2,2,3,2,7,3,3,3,5,3, 3,1
   72,1,5,1,"35",3,2,7,2,3,7,1,1,1,1,5,1, 1,1
   73,2,6,2,"24",2,2,2,2,2,2,1,2,2,1,5,4, 5,3
   74,2,6,1,"35",3,2,2,2,1,1,1,2,1,1,5,5, 6,3
   75,2,3,2,"46",4,2,2,2,1,1,1,2,1,1,5,4, 5,3
   76,2,2,1,"47",4,2,2,2,2,7,7,7,7,7,5,5, 5,1
   77,2,5,1,"59",5,1,2,1,2,1,1,1,1,2,5,4, 6,3
   78,1,6,1,"24",2,1,2,2,1,2,1,1,1,1,2,1, 6,1
   79,1,5,1,"12",1,2,2,2,1,1,1,7,1,1,5,5, 6,3
   80,2,3,1,"47",4,2,2,1,2,2,1,1,1,2,5,4, 4,3
   81,2,1,1,"59",5,1,2,2,1,1,1,1,1,1,5,4, 4,3
   82,1,1,1,"24",2,1,1,1,1,1,1,1,1,1,5,5, 5,3
   83,1,6,2,"12",1,1,3,2,1,2,1,1,1,1,4,2, 2,1
   84,1,6,1,"12",1,2,1,1,1,7,1,1,1,1,5,5, 6,3
   85,1,7,2,"47",4,2,2,2,2,1,1,1,1,1,5,5, 6,1
   86,2,4,1,"46",4,1,7,2,3,2,3,2,2,2,5,3, 4,2
   87,2,5,3,"11",1,2,3,2,2,2,7,1,2,2,5,5, 6,1
   88,1,5,1,"35",3,2,1,1,1,1,1,1,1,1,3,4, 6,2
   89,2,3,1,"59",5,2,2,1,1,1,1,1,1,2,5,3, 3,3
   90,2,1,1,"24",2,2,2,2,1,1,1,1,1,1,5,1, 2,1
   91,3,3,1,"12",1,1,4,1,3,2,1,1,2,2,5,4, 5,3
   92,1,2,1,"59",5,1,2,2,1,7,1,3,1,1,5,3, 4,2
   93,1,6,1,"12",1,2,2,2,1,1,1,1,1,1,5,5, 6,3
   94,2,3,1,"24",2,2,2,2,7,7,7,7,1,1,5,5, 6,4
   95,2,5,1,"35",3,2,2,1,2,1,1,2,2,1,5,3, 4,2
   96,2,1,1,"24",2,2,2,2,2,2,1,2,1,1,5,4, 4,3
   97,2,3,1,"24",2,1,3,2,1,1,1,1,1,1,5,7, 3,1
   98,1,5,1,"12",1,2,1,2,1,1,1,1,1,1,5,1, 6,1
   99,1,4,2,"13",1,2,1,2,2,2,1,1,1,1,5,3, 3,1
  100,2,4,1,"48",4,2,2,2,2,7,2,2,2,2,5,4, 6,1
  101,1,3,2,"35",3,1,1,1,1,1,1,1,1,1,5,5, 5,3
  102,1,5,1,"48",4,2,2,1,1,1,1,1,1,1,5,4, 3,1
  103,3,4,2,"12",1,2,2,1,1,2,1,1,1,2,3,3, 3,3
  104,3,2,1,"35",3,1,2,2,1,7,1,1,1,2,5,4, 4,4
  105,1,2,1,"24",2,2,1,2,1,1,1,1,1,1,5,3, 3,2
  106,2,6,1,"13",1,2,2,2,1,1,1,1,1,1,5,5, 6,4
  107,1,7,1,"35",3,2,2,2,1,1,1,7,7,1,5,2, 6,1
  108,2,6,1,"24",2,2,1,1,1,7,1,1,1,1,5,5, 6,4
  109,2,3,2,"24",2,2,2,2,1,1,1,1,1,1,5,5, 4,2
  110,1,3,2,"35",3,2,2,1,1,2,1,1,1,1,5,4, 3,2
  111,1,6,1,"48",4,1,2,1,1,1,1,1,1,1,4,4, 4,3
  112,2,5,2,"46",4,2,3,1,1,1,1,2,1,2,5,5, 6,2
  113,2,1,2,"46",4,1,7,2,2,1,1,7,1,7,5,2, 5,1
  114,2,4,1,"13",1,1,2,1,2,1,1,1,1,1,5,4, 4,1
  115,1,1,1,"59",5,2,2,2,1,7,1,1,1,1,5,4, 5,2
  116,2,5,1,"59",5,1,3,2,3,3,7,2,2,7,7,3, 4,2
  117,2,2,2,"24",2,2,2,2,3,2,2,2,2,1,5,3, 5,1
  118,2,1,1,"12",1,2,2,2,2,2,2,2,2,2,5,3, 4,2
  119,1,3,1,"24",2,2,2,2,2,1,1,1,2,1,5,1, 5,3
  120,2,2,2,"12",1,1,2,2,2,1,1,3,2,1,5,3, 3,1
  121,2,1,1,"46",4,1,2,2,1,1,1,1,1,1,5,3, 4,2
  122,1,3,1,"35",3,2,2,1,1,1,1,1,1,2,5,3, 3,1
  123,1,7,1,"46",4,1,2,2,1,1,7,1,1,1,5,7, 6,3
  124,1,2,1,"35",3,2,2,2,1,1,1,1,1,1,5,4, 5,2
  125,2,7,1,"24",2,1,1,2,1,2,1,2,2,1,5,5, 6,5
  126,2,6,3,"11",1,2,3,2,2,1,2,1,2,3,4,3, 6,1
  127,2,1,1,"35",3,2,2,2,2,2,1,2,2,1,5,2, 3,1
  128,2,7,1,"35",3,2,2,2,1,1,7,1,1,2,5,4, 6,3
  129,2,2,1,"24",2,2,2,2,1,1,7,1,1,1,5,2, 4,1
  130,3,7,2,"47",4,1,4,2,3,1,1,3,7,3,7,3, 6,8
  131,2,4,1,"35",3,2,4,1,1,1,7,3,1,7,5,3, 4,2
  132,2,4,2,"35",3,2,2,2,2,2,1,2,2,2,5,5, 4,4
  133,2,7,1,"35",3,1,3,2,1,1,1,1,1,1,5,4, 6,3
  134,2,2,2,"12",1,2,2,2,2,2,2,2,2,2,5,5, 3,3
  135,1,6,1,"35",3,2,2,2,1,1,1,1,1,1,5,3, 6,3
  136,1,6,1,"59",5,2,2,2,2,2,2,2,2,2,5,5, 6,2
  137,2,2,1,"48",4,1,2,2,1,1,1,1,1,1,5,5, 4,4
  138,1,4,1,"24",2,2,1,2,1,1,1,1,1,1,5,5, 5,2
  139,2,5,1,"24",2,2,2,2,2,2,2,2,2,2,5,4, 4,3
  140,2,4,1,"59",5,1,2,2,2,2,1,1,1,1,5,5, 5,4
  141,2,3,1,"13",1,2,3,1,2,1,2,1,2,1,3,2,97,1
  142,2,6,1,"35",3,2,3,2,2,1,1,1,2,3,5,4, 6,3
  143,2,5,1,"35",3,1,2,2,2,2,1,1,1,1,5,5, 5,1
  144,2,2,3,"11",1,2,2,2,1,1,1,1,1,1,4,4, 3,2
  145,1,6,1,"35",3,1,1,1,1,7,1,7,2,2,5,5, 5,4
  146,2,4,1,"24",2,2,2,2,2,2,2,2,2,2,5,4, 4,3
  147,1,3,1,"59",5,2,2,2,1,1,1,1,1,1,5,4, 5,2
  148,1,5,1,"46",4,2,3,2,2,2,7,7,1,1,5,5, 6,5
  149,1,4,1,"35",3,1,2,2,1,2,2,2,2,2,5,3, 5,2
  150,1,2,1,"59",5,1,2,1,1,1,1,1,1,1,4,2, 4,7
  151,1,3,1,"13",1,2,4,1,1,2,1,1,1,1,5,5, 5,3
  152,1,4,1,"35",3,1,1,2,1,1,1,1,1,1,5,4, 3,3
  153,1,1,1,"48",4,2,1,2,1,1,1,1,1,1,4,4, 4,4
  154,1,4,2,"12",1,2,1,2,1,1,1,1,1,1,5,4, 6,1
  155,1,3,1,"35",3,1,2,2,1,1,1,1,1,1,5,3, 2,1
  156,1,6,1,"59",5,1,2,2,1,1,1,2,2,1,5,5, 6,5
  157,4,2,1,"35",3,1,4,2,2,2,2,2,2,2,4,5, 5,1
  158,2,2,1,"10",1,2,2,2,2,3,1,1,1,1,5,3, 4,3
  159,2,4,1,"35",3,1,3,2,2,2,2,2,2,2,5,5, 3,3
  160,2,4,3,"11",1,2,4,2,2,2,2,3,2,3,3,3, 1,1
  161,1,6,1,"35",3,2,4,1,1,1,1,1,1,1,5,5, 6,4
  162,1,4,1,"35",3,1,2,2,1,2,1,1,1,1,5,4, 4,3
  163,1,4,1,"35",3,1,2,2,1,1,1,1,1,1,5,5, 4,1
  164,1,1,1,"35",3,1,1,2,1,1,2,2,1,1,5,2, 3,1
  165,2,1,1,"46",4,2,2,2,1,1,1,1,1,1,4,4, 4,1
  166,2,5,1,"10",1,2,2,1,2,2,1,3,2,2,5,5, 6,5
  167,2,4,1,"35",3,2,2,2,1,2,2,2,2,2,5,3, 6,1
  168,1,6,2,"24",2,2,1,2,1,1,1,1,2,1,5,5, 6,1
  169,2,5,1,"12",1,2,2,1,1,1,1,2,1,1,4,5, 3,1
  170,2,6,2,"46",4,1,3,2,2,3,2,2,7,2,3,5, 6,1
  171,1,1,1,"46",4,2,1,2,1,1,1,1,1,1,5,4, 4,2
  172,2,2,1,"12",1,1,2,2,2,2,1,2,2,2,5,3, 4,1
  173,4,2,2,"35",3,1,4,1,3,3,3,3,3,3,2,1, 6,1
  174,1,7,2,"59",5,2,3,2,1,1,1,1,1,1,5,5, 6,4
  175,2,4,1,"59",5,1,2,2,2,2,2,2,2,2,5,3, 4,1
  176,1,5,2,"24",2,1,2,2,1,1,1,1,1,1,5,4, 6,4
  177,1,7,1,"12",1,2,1,2,1,1,1,1,1,1,5,5, 6,3
  178,2,6,2,"35",3,1,3,2,2,3,3,2,2,2,5,5, 6,1
  179,1,6,1,"10",1,2,2,2,2,2,1,1,1,2,5,4, 6,2
  180,1,4,3,"11",1,1,1,2,1,1,1,1,1,1,5,4, 4,3
  181,1,4,1,"35",3,1,7,2,1,1,1,7,1,1,5,4, 4,1
  182,1,6,1,"24",2,2,2,2,1,1,1,1,1,1,5,5, 6,2
  183,1,5,1,"12",1,1,3,1,2,1,3,1,2,1,5,5, 6,3
  184,3,5,1,"59",5,2,3,2,2,7,7,2,2,7,5,4, 5,4
  185,1,7,1,"24",2,2,1,2,1,8,1,1,1,1,5,5, 6,3
  186,1,1,1,"35",3,2,1,2,1,7,1,1,1,1,5,3, 4,2
  187,1,1,1,"59",5,1,2,2,1,1,2,2,1,1,5,4, 5,4
  188,1,5,3,"11",1,2,1,2,1,1,1,1,1,1,5,5, 5,4
  189,1,5,1,"35",3,2,2,1,2,1,1,1,2,2,4,4, 6,7
  190,2,4,1,"24",2,2,2,2,2,2,1,1,2,1,5,4, 5,1
  191,1,1,1,"46",4,2,7,2,1,2,1,2,1,1,5,4, 4,2
  192,2,5,1,"35",3,2,1,1,1,1,1,1,1,1,5,5, 4,4
  193,2,3,3,"11",1,2,2,2,1,1,1,1,1,1,5,5, 6,3
  194,1,7,1,"59",5,2,3,2,1,1,1,1,1,1,5,5, 5,4
  195,3,1,1,"35",3,1,3,1,3,1,3,3,2,3,4,3, 3,1
  196,1,5,2,"12",1,1,1,1,1,1,1,1,1,1,5,4, 5,3
  197,1,7,1,"59",5,2,3,2,1,1,1,1,3,2,4,4, 6,1
  198,2,2,1,"59",5,1,2,2,2,2,3,2,2,2,5,4, 3,2
  199,3,4,2,"59",5,2,1,1,3,3,1,1,3,3,5,5, 1,5
  200,2,6,1,"59",5,2,2,2,1,1,2,2,2,3,5,4, 4,3
  201,2,2,1,"24",2,1,4,2,2,3,1,2,3,1,5,3, 5,2
  202,2,4,1,"24",2,2,3,1,1,1,3,2,2,1,5,4, 5,3
  203,1,3,1,"35",3,2,1,1,1,1,1,2,1,1,4,2, 3,1
  204,1,7,1,"24",2,2,3,2,1,1,1,1,1,1,5,5, 6,1
  205,2,7,1,"47",4,2,2,2,2,1,1,1,1,1,5,5, 6,2
  206,2,3,1,"59",5,2,2,2,1,2,1,1,1,1,4,4, 3,4
  207,7,7,1,"35",3,2,7,2,1,7,7,1,1,7,5,7, 6,8
  208,1,4,1,"35",3,2,1,2,1,7,1,2,1,7,5,4, 5,1
  209,1,3,1,"35",3,2,1,2,1,7,1,1,1,1,5,4, 5,2
  210,2,4,1,"13",1,1,2,1,2,2,1,1,1,1,5,4, 4,4
  211,2,3,1,"24",2,2,7,2,7,7,7,7,7,7,5,2, 2,2
  212,1,1,1,"48",4,2,1,2,1,1,1,2,1,1,5,5, 5,1
  213,1,5,1,"35",3,1,1,1,1,2,1,7,1,1,5,4, 5,3
  214,1,2,1,"12",1,1,2,1,2,7,1,1,1,1,5,1, 3,1
  215,2,5,2,"24",2,1,3,2,1,1,1,1,1,1,5,4, 4,2
  216,1,3,1,"24",2,2,2,1,1,1,1,1,1,1,5,4, 4,2
  217,1,4,2,"10",1,1,7,1,1,1,1,7,1,1,5,4, 5,7
  218,1,5,1,"59",5,1,1,2,2,1,1,1,2,1,5,4, 4,2
  219,2,6,1,"12",1,2,2,2,2,7,7,2,2,2,5,5, 6,1
  220,2,2,1,"59",5,2,2,2,2,1,1,1,1,2,5,4, 5,2
  221,1,3,2,"24",2,1,2,1,1,7,7,1,1,7,5,3, 3,2
  222,1,4,1,"35",3,1,1,2,1,1,1,1,1,1,5,4, 4,2
  223,2,7,2,"13",1,2,7,2,1,2,1,2,2,1,5,3, 6,3
  224,2,3,2,"10",1,1,1,2,3,3,1,1,3,1,5,5, 3,1
  225,2,7,1,"12",1,2,1,2,1,7,1,7,1,1,5,7, 6,7
  226,4,3,1,"35",3,2,1,2,3,2,3,7,3,3,5,1, 1,1
  227,2,2,2,"13",1,2,2,2,1,2,1,2,1,2,4,4, 4,1
  228,1,3,1,"35",3,2,2,2,2,7,7,1,7,1,5,4, 4,3
  229,1,7,1,"12",1,2,3,2,1,7,1,2,1,7,5,3, 6,2
  230,2,4,1,"59",5,2,3,2,1,7,7,1,1,1,5,4, 4,2
  231,1,2,1,"35",3,2,1,2,1,7,1,3,1,1,5,1, 4,1
  232,1,6,1,"35",3,2,1,2,1,1,1,2,1,1,5,3, 5,2
  233,2,2,2,"10",1,1,2,2,1,1,1,1,1,1,4,3, 3,2
  234,1,7,2,"10",1,1,7,2,1,7,7,7,1,7,5,5, 6,5
  235,2,1,2,"24",2,2,2,2,2,2,3,1,2,2,5,4, 3,2
  236,1,1,1,"24",2,1,1,2,1,1,1,1,1,1,5,5, 5,3
  237,2,1,1,"35",3,1,2,2,2,1,1,2,1,1,5,4, 3,3
  238,1,6,1,"48",4,2,2,2,1,1,1,2,1,1,5,4, 6,3
  239,1,4,1,"10",1,2,2,1,1,1,1,1,2,2,5,3, 3,2
  240,1,6,2,"59",5,2,3,2,1,1,1,1,1,1,5,5, 6,3
  241,2,2,1,"24",2,2,2,2,2,2,2,2,2,2,5,3, 3,1
  242,1,3,1,"24",2,1,2,1,2,2,1,1,2,1,2,7, 3,1
  243,2,3,1,"24",2,1,2,2,1,1,7,1,1,1,5,5, 5,2
  244,1,7,2,"10",1,2,2,2,1,1,1,1,1,1,5,5, 6,3
  245,2,3,2,"13",1,2,2,2,1,1,1,1,1,1,5,4, 4,2
  246,1,1,2,"47",4,2,1,2,1,1,1,1,1,1,5,4, 3,2
  247,1,6,1,"59",5,2,3,2,1,7,1,1,1,7,5,4, 6,3
  248,2,2,2,"12",1,2,2,2,1,1,1,1,1,1,5,3, 6,1
  249,2,2,1,"13",1,2,2,2,2,2,3,2,1,2,5,4, 4,2
  250,1,5,1,"12",1,2,2,1,1,1,1,1,1,1,5,3, 5,3
  251,2,7,1,"24",2,2,3,2,1,7,7,7,1,7,5,5, 6,1
  252,2,7,1,"24",2,2,3,2,1,7,1,1,1,1,5,5, 6,3
  253,1,4,1,"47",4,2,2,2,1,1,1,1,1,2,5,5, 5,3
  254,1,4,1,"35",3,1,2,1,1,1,1,2,2,2,4,3, 3,1
  255,1,6,2,"12",1,1,2,2,1,1,1,1,1,1,5,5, 6,2
  256,1,2,1,"24",2,2,2,2,1,1,1,2,1,1,5,4, 4,3
  257,2,6,1,"13",1,1,2,1,3,1,3,3,2,3,4,4, 6,2
  258,1,5,2,"35",3,1,3,2,1,1,1,1,1,1,5,4, 4,3
  259,2,1,1,"35",3,1,7,2,7,7,7,1,1,1,5,3,97,1
  260,1,1,1,"24",2,2,1,2,1,2,1,1,1,1,5,4, 5,2
  261,2,4,1,"47",4,1,2,2,2,3,2,2,2,2,5,4, 5,3
  262,1,5,2,"12",1,1,3,1,7,7,7,7,7,1,5,4, 5,2
  263,1,7,2,"12",1,2,3,2,2,1,1,2,1,2,5,5, 6,7
  264,2,2,1,"24",2,1,2,2,2,1,1,1,1,1,5,3, 3,1
  265,1,1,1,"46",4,2,1,2,1,1,1,1,1,1,5,5, 5,3
  266,1,6,1,"35",3,2,2,2,1,1,1,1,1,1,5,5, 5,3
  267,2,2,2,"35",3,2,2,2,2,2,1,1,1,3,5,2, 4,1
  268,2,1,1,"35",3,1,2,2,1,1,2,1,1,1,5,3, 4,2
  269,3,5,1,"24",2,1,4,1,3,3,3,3,2,3,5,3, 4,2
  270,1,6,1,"24",2,1,2,2,1,1,1,1,1,1,5,4, 6,2
  271,1,6,2,"59",5,1,2,2,1,7,7,1,1,1,5,5, 6,3
  272,1,6,2,"10",1,1,3,2,1,1,1,1,2,1,5,5, 6,2
  273,3,2,1,"24",2,1,2,1,3,3,2,2,3,2,5,2, 4,1
  274,2,7,2,"59",5,2,2,2,2,1,1,1,1,1,5,5, 6,5
  275,2,3,1,"48",4,2,2,2,2,2,1,1,2,2,5,5, 5,3
  276,1,3,1,"12",1,2,2,2,1,1,1,2,2,1,5,4, 4,2
  277,2,4,1,"35",3,1,2,2,1,1,1,7,1,1,5,4, 3,2
  278,2,4,1,"12",1,2,7,2,1,2,1,1,1,1,5,5, 6,2
  279,7,7,3,"11",1,2,7,2,7,7,7,1,7,1,5,5, 6,7
  280,3,5,2,"13",1,2,3,1,2,2,2,2,2,2,5,4, 5,1
  281,1,2,3,"11",1,2,2,1,1,1,1,2,1,1,5,3, 3,1
  282,2,5,2,"47",4,2,2,1,7,2,2,2,2,2,5,4, 6,3
  283,1,3,1,"59",5,1,2,1,1,1,1,1,1,1,5,4, 5,3
  284,1,5,1,"35",3,2,2,2,1,7,1,2,1,1,5,4, 6,4
  285,1,3,1,"12",1,2,1,2,1,7,1,1,1,1,5,4, 4,3
  286,1,3,1,"48",4,1,2,1,1,1,1,1,1,1,5,3, 3,2
  287,2,5,2,"48",4,1,2,2,2,2,2,2,2,2,5,3, 5,2
  288,2,2,1,"24",2,1,3,2,1,1,2,3,2,3,5,3, 2,1
  289,2,5,2,"47",4,2,2,2,2,3,1,7,2,2,5,5, 6,4
  290,1,4,1,"24",2,2,1,1,1,1,1,1,1,1,5,5, 5,1
  291,1,5,3,"11",1,2,2,2,1,1,1,1,1,1,5,2, 6,1
  292,1,6,2,"47",4,1,3,2,1,3,1,7,1,1,5,5, 5,7
  293,2,2,2,"10",1,1,4,1,2,2,2,3,2,2,5,3, 3,3
  294,2,4,1,"35",3,2,7,2,2,7,7,7,7,2,5,3, 5,2
  295,1,6,1,"24",2,2,1,2,1,1,1,1,1,1,5,5, 6,1
  296,1,3,1,"10",1,2,2,2,1,2,1,1,1,1,5,3, 4,3
  297,1,1,1,"35",3,2,1,2,1,1,1,1,1,1,5,5, 5,3
  298,2,6,1,"48",4,1,3,2,2,2,1,2,2,2,5,4, 6,4
  299,2,1,1,"35",3,2,3,2,2,7,2,2,2,2,5,5, 5,3
  300,1,2,1,"59",5,2,2,2,1,1,1,1,1,1,5,4, 4,1
  301,1,3,1,"24",2,2,3,2,2,1,1,1,1,1,5,4, 5,3
  302,7,6,1,"48",4,2,4,2,1,1,1,1,1,1,5,3, 6,1
  303,2,1,1,"48",4,1,2,2,7,1,2,7,1,1,5,4, 5,2
  304,1,7,1,"59",5,2,2,2,1,1,1,1,1,1,5,5, 6,4
  305,1,3,2,"24",2,2,2,2,1,1,1,1,1,1,5,5, 4,3
  306,2,3,1,"35",3,2,3,2,3,3,2,2,2,2,4,3, 2,1
  307,1,6,1,"48",4,2,7,2,1,1,7,7,1,1,5,5, 6,7
  308,2,2,1,"48",4,2,2,2,2,2,1,1,1,1,5,4, 4,1
  309,1,7,1,"12",1,2,1,1,2,1,1,1,1,1,5,5, 6,1
  310,2,2,2,"10",1,2,3,1,2,1,1,1,1,1,5,4, 6,2
  311,1,2,2,"35",3,1,2,2,1,1,1,1,1,1,5,5, 5,1
  312,1,6,1,"35",3,1,1,2,1,1,1,1,1,1,4,5, 4,5
  313,1,4,1,"35",3,2,2,2,1,7,7,1,1,1,5,5, 5,4
  314,1,4,1,"35",3,2,2,2,1,7,1,1,7,7,5,3, 5,1
  315,2,3,3,"11",1,2,2,2,2,2,7,2,3,2,5,2, 4,1
  316,1,4,1,"35",3,1,2,1,1,1,1,1,1,1,5,2, 5,2
  317,1,4,1,"35",3,1,2,2,1,1,1,1,1,1,5,5, 5,2
  318,2,5,2,"12",1,1,2,2,2,2,2,2,2,2,5,5, 5,3
  319,2,6,1,"48",4,1,2,1,1,2,2,2,2,2,5,5, 6,3
  320,1,4,1,"48",4,2,2,2,2,2,2,2,2,2,4,3, 3,1
  321,2,3,1,"13",1,1,2,1,1,1,1,2,1,1,5,5, 4,2
  322,2,3,1,"48",4,2,2,2,1,1,1,7,1,1,5,4, 4,3
  323,4,1,2,"24",2,1,4,1,3,3,3,1,2,3,5,3, 4,2
  324,2,2,1,"35",3,2,2,2,2,2,2,2,2,2,5,5, 5,4
  325,1,3,1,"35",3,1,1,2,2,1,1,1,1,1,5,2, 3,2
  326,2,3,2,"46",4,2,2,2,1,1,1,2,2,1,4,2, 5,1
  327,3,7,1,"35",3,2,3,2,3,3,3,7,3,3,3,3, 6,3
  328,2,6,2,"10",1,1,3,2,2,2,1,1,2,2,5,5, 6,3
  329,2,6,1,"10",1,2,2,2,2,2,2,2,2,2,5,5, 6,4
  330,2,1,1,"24",2,2,2,2,1,1,1,7,1,1,5,4, 3,2
  331,1,7,1,"47",4,2,7,2,1,7,7,7,1,1,5,7, 6,7
  332,2,1,1,"46",4,2,2,2,2,2,2,1,1,1,5,3, 5,1
  333,1,2,1,"48",4,1,2,2,1,2,1,1,1,1,5,4, 4,3
  334,1,6,1,"47",4,2,2,2,1,1,1,1,1,1,5,5, 6,1
  335,2,1,1,"24",2,1,2,2,1,1,1,1,1,1,5,2, 3,1
  336,2,1,1,"12",1,2,2,2,1,2,1,1,2,2,5,4, 3,1
  337,2,6,1,"35",3,1,2,2,2,2,2,3,1,2,5,3, 2,2
  338,1,4,1,"35",3,2,2,2,1,1,1,7,1,2,5,4, 6,3
  339,2,6,1,"35",3,2,2,2,2,1,1,7,1,1,5,5, 6,1
