CASEID,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65
   76,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   77,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   78,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1
   79,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   80,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   81,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   82,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   83,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   84,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   85,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   86,1,2,1,1,2,2,2,2,2,2,2,2,7,2,2,2,2,2,7
   87,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2
   88,2,2,2,2,2,2,2,2,7,2,2,7,6,6,6,6,6,6,6
   89,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   90,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   91,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2
   92,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   93,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   94,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   95,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,3,2
   96,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   97,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   98,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2
   99,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  100,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  101,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  102,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  103,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  104,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  105,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  106,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  107,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  108,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  109,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  110,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  111,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  112,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  113,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  114,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  115,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  116,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2
  117,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  118,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  119,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  120,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  121,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
